Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C7","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",207.10375,-96.81625,180.0,top
"C2","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",210.59,-89.11,90.0,top
"D11","1N4148","D_SOD-123",130.19125,-91.1965,0.0,top
"D5","1N4148","D_SOD-123",130.11,-72.1465,0.0,top
"D24","1N4148","D_SOD-123",149.24125,-129.36,0.0,top
"D13","1N4148","D_SOD-123",168.21,-91.1965,0.0,top
"U1","atmega32u4-au","TQFP-44_10x10mm_P0.8mm",215.835,-97.61,270.0,top
"R8","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.01,-69.82875,180.0,top
"D15","1N4148","D_SOD-123",92.01,-110.2465,0.0,top
"D22","1N4148","D_SOD-123",111.06,-129.36,0.0,top
"TP3","A0","TestPoint_Keystone_5015_Micro-Minature",230.5,-89.5,0.0,top
"R7","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.8475,-131.74125,180.0,top
"D18","1N4148","D_SOD-123",149.16,-110.2465,0.0,top
"D8","1N4148","D_SOD-123",72.96,-91.5965,0.0,top
"C4","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",211.86625,-105.5475,180.0,top
"D10","1N4148","D_SOD-123",111.06,-91.1965,0.0,top
"R1","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",206.85625,-112.5,180.0,top
"C8","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",219.80375,-105.5475,0.0,top
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",207.10375,-93.64125,180.0,top
"D6","1N4148","D_SOD-123",149.07875,-72.1465,0.0,top
"D23","1N4148","D_SOD-123",130.11,-129.36,0.0,top
"R4","22R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.84875,-94.725,180.0,top
"D12","1N4148","D_SOD-123",149.16,-91.1965,0.0,top
"D7","1N4148","D_SOD-123",168.21,-72.1465,0.0,top
"C1","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",219.80375,-88.87875,90.0,top
"R3","22R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.76625,-97.185,180.0,top
"D17","1N4148","D_SOD-123",130.02875,-110.2465,0.0,top
"R2","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.82375,-99.765,0.0,top
"R6","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.8475,-126.97875,180.0,top
"D19","1N4148","D_SOD-123",168.21,-110.2465,0.0,top
"D4","1N4148","D_SOD-123",110.97875,-72.1465,0.0,top
"D16","1N4148","D_SOD-123",111.06,-110.2465,0.0,top
"TP7","D7","TestPoint_Keystone_5015_Micro-Minature",204.83875,-86.24875,0.0,top
"D3","1N4148","D_SOD-123",92.01,-72.1465,0.0,top
"D25","1N4148","D_SOD-123",168.21,-129.36,0.0,top
"D9","1N4148","D_SOD-123",92.01,-91.1965,0.0,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",224.56625,-92.8475,180.0,top
"D21","1N4148","D_SOD-123",92.09125,-129.36,0.0,top
"TP11","D11","TestPoint_Keystone_5015_Micro-Minature",204.0,-108.0,0.0,top
"C9","22pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",211.86625,-107.135,180.0,top
"D2","1N4148","D_SOD-123",72.96,-72.1465,0.0,top
"R9","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",219.01,-74.59125,180.0,top
"D14","1N4148","D_SOD-123",73.04125,-110.2465,0.0,top
"C3","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",224.56625,-100.785,0.0,top
"D20","1N4148","D_SOD-123",72.96,-129.36,0.0,top
"C6","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",207.10375,-98.40375,180.0,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",215.835,-106.34125,180.0,top
